Feature name (optional)	Standard gene name (optional)	Chromosome (optional)	Start_coordinate (optional)	Stop_coordinate (optional)	Strand (optional)	Description (optional)	rep("Saccharomyces cerevisiae", nrow(inter))	paste0("https://www.yeastgenome.org/locus/", annotations_SC[,
YOR070C	GYP1	15	457820	455907	C	Cis-golgi GTPase-activating protein (GAP) for yeast Rabs; the Rab family members are Ypt1p (in vivo) and for Ypt1p, Sec4p, Ypt7p, and Ypt51p (in vitro); involved in vesicle docking and fusion	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005596
YOR071C	NRT1	15	461276	459480	C	High-affinity nicotinamide riboside transporter; also transports thiamine with low affinity; major transporter for 5-aminoimidazole-4-carboxamide-1-beta-D-ribofuranoside (acadesine) uptake; shares sequence similarity with Thi7p and Thi72p; proposed to be involved in 5-fluorocytosine sensitivity	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005597
YOR072W		15	461502	461816	W	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the dubious gene YOR072W-A; diploid deletion strains are methotrexate, paraquat and wortmannin sensitive	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005598
YOR072W-A		15	461791	462039	W	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YOR072W; originally identified by fungal homology and RT-PCR	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000028582
YOR072W-B		15	464469	464630	W	Putative protein of unknown function; identified by expression profiling and mass spectrometry	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000028516
YOR073W	SGO1	15	464771	466543	W	Component of the spindle checkpoint; involved in sensing lack of tension on mitotic chromosomes; protects centromeric Rec8p at meiosis I; required for accurate chromosomal segregation at meiosis II and for mitotic chromosome stability; recruits condensin to the pericentric region of chromosomes during meiosis; dissociates from pericentromeres when sister kinetochores are under tension	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005599
YOR073W-A		15	467390	467623	W	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially/completely overlaps the verified ORF CDC21/YOR074C; identified by RT-PCR	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000028583
YOR074C	CDC21	15	467589	466675	C	Thymidylate synthase; required for de novo biosynthesis of pyrimidine deoxyribonucleotides; expression is induced at G1/S; human homolog TYMSOS can complement yeast cdc21 temperature-sensitive mutant at restrictive temperature	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005600
YOR075W	UFE1	15	468212	469252	W	t-SNARE protein required for retrograde vesicular traffic; involved in Sey1p-independent homotypic ER fusion; required for efficient nuclear fusion during mating; forms a complex with the SNAREs Sec22p, Sec20p and Use1p to mediate fusion of Golgi-derived vesicles at the ER	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005601
YOR076C	SKI7	15	471620	469377	C	GTP-binding protein that couples the Ski complex and exosome; putative pseudo-translational GTPase involved in 3'-to-5' mRNA decay pathway; interacts with both the cytoplasmic exosome and the Ski complex; eRF3-like domain targets nonstop mRNA for degradation; null mutants have a superkiller phenotype; SKI7 has a paralog, HBS1, that arose from the whole genome duplication	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005602
YOR077W	RTS2	15	471899	472597	W	Basic zinc-finger protein; similar to human and mouse Kin17 proteins which are chromatin-associated proteins involved in UV response and DNA replication	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005603
YOR078W	BUD21	15	472725	473369	W	Component of small ribosomal subunit (SSU) processosome; this complex contains U3 snoRNA; required at post-transcriptional step for efficient retrotransposition; absence results in decreased Ty1 Gag:GFP protein levels; originally isolated as bud-site selection mutant that displays a random budding pattern	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005604
YOR079C	ATX2	15	474416	473475	C	Golgi membrane protein involved in manganese homeostasis; overproduction suppresses the sod1 (copper, zinc superoxide dismutase) null mutation	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005605
YOR080W	DIA2	15	474594	476792	W	Origin-binding F-box protein; forms SCF ubiquitin ligase complex with Skp1p and Cdc53p; functions in ubiquitination of silent chromatin structural protein Sir4p; required to target Cdc6p for destruction during G1 phase; required for deactivation of Rad53 checkpoint kinase, completion of DNA replication during recovery from DNA damage, assembly of RSC complex, RSC-mediated transcription regulation, and nucleosome positioning; involved in invasive and pseudohyphal growth	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005606
YOR081C	TGL5	15	479188	476939	C	Bifunctional triacylglycerol lipase and LPA acyltransferase; lipid particle-localized triacylglycerol (TAG) lipase involved in triacylglycerol mobilization; catalyzes acylation of lysophosphatidic acid (LPA); potential Cdc28p substrate; TGL5 has a paralog, TGL4, that arose from the whole genome duplication	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005607
YOR083W	WHI5	15	479533	480420	W	Repressor of G1 transcription; binds to SCB binding factor (SBF) at SCB target promoters in early G1; dilution of Whi5p concentration during cell growth determines cell size; phosphorylation of Whi5p by the CDK, Cln3p/Cdc28p relieves repression and promoter binding by Whi5, and contributes to both the determination of critical cell size at START and cell fate; periodically expressed in G1	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005609
YOR082C		15	479637	479296	C	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene YOR083W	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005608
YOR084W	LPX1	15	480587	481750	W	Peroxisomal matrix-localized lipase; required for normal peroxisome morphology; contains a peroxisomal targeting signal type 1 (PTS1) and a lipase motif; peroxisomal import requires the PTS1 receptor, Pex5p and self-interaction; transcriptionally activated by Yrm1p along with genes involved in multidrug resistance; oleic acid inducible	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005610
YOR085W	OST3	15	482033	483085	W	Gamma subunit of the oligosaccharyltransferase complex of the ER lumen; complex catalyzes asparagine-linked glycosylation of newly synthesized proteins; Ost3p is important for N-glycosylation of a subset of proteins	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005611
YOR086C	TCB1	15	486779	483219	C	Lipid-binding ER protein involved in ER-plasma membrane tethering; one of 6 proteins (Ist2p, Scs2p, Scs22p, Tcb1p, Tcb2p, Tcb3p) that connect ER to plasma membrane and regulate PI4P levels by controlling access of Sac1p phosphatase to its substrate PI4P in PM; contains 3 calcium and lipid binding domains; non-tagged protein also localizes to mitochondria; C-termini of Tcb1p, Tcb2p and Tcb3p interact; TCB1 has a paralog, TCB2, that arose from the whole genome duplication	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005612
YOR087W	YVC1	15	487707	489734	W	Vacuolar cation channel; mediates release of Ca(2+) from the vacuole in response to hyperosmotic shock	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005613
YOR089C	VPS21	15	490828	490196	C	Endosomal Rab family GTPase; required for endocytic transport and sorting of vacuolar hydrolases; required for endosomal localization of the CORVET complex; required with YPT52 for MVB biogenesis and sorting; involved in autophagy and ionic stress tolerance; geranylgeranylation required for membrane association; protein abundance increases in response to DNA replication stress; mammalian Rab5 homolog; VPS21 has a paralog, YPT53, that arose from the whole genome duplication	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005615
YOR090C	PTC5	15	492841	491123	C	Mitochondrial type 2C protein phosphatase (PP2C); involved in regulation of pyruvate dehydrogenase activity by dephosphorylating the serine 133 of the Pda1p subunit; localizes to the intermembrane space and is imported via the presequence pathway and processed by the inner membrane protease (Imp1p-Imp2p); acts in concert with kinases Pkp1p and Pkp2p and phosphatase Ptc6p	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005616
YOR091W	TMA46	15	493433	494470	W	Protein of unknown function that associates with translating ribosomes; interacts with GTPase Rbg1p	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005617
YOR092W	ECM3	15	495127	496968	W	Non-essential protein of unknown function; involved in signal transduction and the genotoxic response; induced rapidly in response to treatment with 8-methoxypsoralen and UVA irradiation; relocalizes from ER to cytoplasm upon DNA replication stress; ECM3 has a paralog, YNL095C, that arose from the whole genome duplication	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005618
YOR093C	CMR2	15	502452	497506	C	Putative protein of unknown function; deletion causes sensitivity to unfolded protein response-inducing agents	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005619
YOR094W	ARF3	15	502795	503346	W	Glucose-repressible ADP-ribosylation factor; GTPase of Ras superfamily involved in regulating cell polarity and invasive growth; localizes to dynamic spots at plasma membrane and modulates PtdIns(4,5)P2 levels to facilitate endocytosis; required for localization of endocytic protein Lsb5p to correct cortical site in cells; also has mRNA binding activity; homolog of mammalian Arf6	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005620
YOR095C	RKI1	15	504328	503552	C	Ribose-5-phosphate ketol-isomerase; catalyzes the interconversion of ribose 5-phosphate and ribulose 5-phosphate in the pentose phosphate pathway; participates in pyridoxine biosynthesis	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005621
YOR096W	RPS7A	15	505794	506767	W	Protein component of the small (40S) ribosomal subunit; interacts with Kti11p; deletion causes hypersensitivity to zymocin; homologous to mammalian ribosomal protein S7, no bacterial homolog; RPS7A has a paralog, RPS7B, that arose from the whole genome duplication	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005622
YOR097C		15	507505	506978	C	Putative protein of unknown function; identified as interacting with Hsp82p in a high-throughput two-hybrid screen; YOR097C is not an essential gene	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005623
YOR098C	NUP1	15	511178	507948	C	FG-nucleoporin component of central core of the nuclear pore complex; contributes directly to nucleocytoplasmic transport and maintenance of thenuclear pore complex (NPC) permeability barrier; possible karyopherin release factor that accelerates release of karyopherin-cargo complexes after transport across NPC; both NUP1 and NUP60 are homologous to human NUP153	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005624
YOR099W	KTR1	15	511825	513006	W	Alpha-1,2-mannosyltransferase; involved in O- and N-linked protein glycosylation; type II membrane protein; member of the KRE2/MNT1 mannosyltransferase family; relocalizes from vacuole to cytoplasm upon DNA replication stress	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005625
YOR100C	CRC1	15	514278	513295	C	Mitochondrial inner membrane carnitine transporter; required for carnitine-dependent transport of acetyl-CoA from peroxisomes to mitochondria during fatty acid beta-oxidation; human homolog SLC25A20 complements yeast null mutant	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005626
YOR101W	RAS1	15	515244	516173	W	GTPase involved in G-protein signaling in adenylate cyclase activation; plays a role in cell proliferation; localized to the plasma membrane; homolog of mammalian RAS proto-oncogenes; relative distribution to the nucleus increases upon DNA replication stress; RAS1 has a paralog, RAS2, that arose from the whole genome duplication	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005627
YOR102W		15	516423	516773	W	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; extensively overlaps essential OST2 gene encoding a subunit of the ER lumen oligosaccharyltransferase complex	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005628
YOR103C	OST2	15	516841	516449	C	Epsilon subunit of the oligosaccharyltransferase complex; located in the ER lumen; catalyzes asparagine-linked glycosylation of newly synthesized proteins	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005629
YOR104W	PIN2	15	517642	518490	W	Exomer-dependent cargo protein; induces appearance of [PIN+] prion when overproduced; prion-like domain serves as a retention signal in the trans-Golgi network; predicted to be palmitoylated	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005630
YOR105W		15	518195	518521	W	Protein of unknown function; expressed at both mRNA and protein levels	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005631
YOR106W	VAM3	15	519121	519972	W	Syntaxin-like vacuolar t-SNARE; functions with Vam7p in vacuolar protein trafficking; mediates docking/fusion of late transport intermediates with the vacuole; has an acidic di-leucine sorting signal and C-terminal transmembrane region	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005632
YOR107W	RGS2	15	521353	522282	W	Negative regulator of glucose-induced cAMP signaling; directly activates the GTPase activity of the heterotrimeric G protein alpha subunit Gpa2p	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005633
YOR108W	LEU9	15	523027	524841	W	Alpha-isopropylmalate synthase II (2-isopropylmalate synthase); catalyzes the first step in the leucine biosynthesis pathway; the minor isozyme, responsible for the residual alpha-IPMS activity detected in a leu4 null mutant; LEU9 has a paralog, LEU4, that arose from the whole genome duplication	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005634
YOR108C-A		15	524814	524605	C	Protein of unknown function; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000028711
YOR109W	INP53	15	525278	528601	W	Polyphosphatidylinositol phosphatase; dephosphorylates multiple phosphatidylinositol phosphates; involved in trans Golgi network-to-early endosome pathway; hyperosmotic stress causes translocation to actin patches; contains Sac1 and 5-ptase domains; INP53 has a paralog, INP52, that arose from the whole genome duplication	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005635
YOR110W	TFC7	15	528941	530248	W	RNA pol III transcription initiation factor complex (TFIIIC) subunit; part of the TauA globular domain of TFIIIC that binds DNA at the BoxA promoter sites of tRNA and similar genes; TFC7 has a paralog, YNL108C, that arose from the whole genome duplication	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005636
YOR111W		15	530429	531127	W	Putative protein of unknown function	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005637
YOR112W	CEX1	15	531508	533793	W	Component of nuclear aminoacylation-dependent tRNA export pathway; cytoplasmic; interacts with nuclear pore component Nup116p; copurifies with tRNA export receptors Los1p and Msn5p, as well as eIF-1a; required for activation of RAN GTPase Gsp1p and dissociation of receptor-tRNA-Gsp1p export complex; recruits Rna1p from cytoplasm to NPC, facilitates Rna1p activation of Gsp1p GTPase activity by enabling Rna1p to gain access to Gsp1p-GTP bound to export receptor tRNA complex	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005638
YOR113W	AZF1	15	534075	536819	W	Zinc-finger transcription factor; involved in diauxic shift; in the presence of glucose, activates transcription of genes involved in growth and carbon metabolism; in nonfermentable carbon sources, activates transcription of genes involved in maintenance of cell wall integrity; relocalizes to the cytosol in response to hypoxia	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005639
YOR114W		15	537570	538454	W	Putative protein of unknown function; null mutant is viable	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005640
YOR115C	TRS33	15	539465	538659	C	Core component of TRAPP complexes I, II and IV; transport protein particle (TRAPP) complexes are related multimeric guanine nucleotide-exchange factor for the GTPase Ypt1p, regulating ER-Golgi traffic (TRAPPI), intra-Golgi traffic (TRAPPII), endosome-Golgi traffic (TRAPPII and III) and autophagy (TRAPPIII, and IV); proposed subunit of a novel complex, TRAPPIV, that may function redundantly with TRAPPIII as a GEF that activates Ypt1 during autophagy	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005641
YOR116C	RPO31	15	544145	539763	C	RNA polymerase III largest subunit C160; part of core enzyme; similar to bacterial beta-prime subunit and to RPA190 and RPO21	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005642
YOR117W	RPT5	15	545029	546333	W	ATPase of the 19S regulatory particle of the 26S proteasome; one of six ATPases of the regulatory particle; involved in the degradation of ubiquitinated substrates; recruited to the GAL1-10 promoter region upon induction of transcription; similar to human TBP1	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005643
YOR118W	RTC5	15	546857	548560	W	Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; null mutation suppresses cdc13-1 temperature sensitivity	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005644
YOR119C	RIO1	15	550246	548792	C	Serine kinase involved in cell cycle regulation and rDNA integrity; associated with late pre-40S particles via its conserved C-terminal domain and participates in late 40S biogenesis; association with pre-40S particles regulated by its catalytic ATPase site and likely occurs after the release of Rio2p from these particles; involved in cell cycle progression and processing of the 20S pre-rRNA into mature 18S rRNA; phosphorylates Rpa43p in anaphase to remove Pol I from rDNA	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005645
YOR120W	GCY1	15	551114	552052	W	Glycerol dehydrogenase; involved in an alternative pathway for glycerol catabolism used under microaerobic conditions; also has mRNA binding activity; member of the aldo-keto reductase (AKR) family; human homolog AKR1B1 can complement yeast null mutant; protein abundance increases in response to DNA replication stress; GCY1 has a paralog, YPR1, that arose from the whole genome duplication	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005646
YOR121C		15	552103	551798	C	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; open reading frame overlaps the verified gene GCY1/YOR120W	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005647
YOR122C	PFY1	15	552887	552298	C	Profilin; binds actin, phosphatidylinositol 4,5-bisphosphate, and polyproline regions; involved in cytoskeleton organization; required for normal timing of actin polymerization in response to thermal stress; protein abundance increases in response to DNA replication stress; highly conserved protein; human PFN1 (profilin 1) complements temperature sensitive pfy1 mutants, PFN1 mutations are a rare cause of ALS	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005648
YOR123C	LEO1	15	554570	553176	C	Component of the Paf1 complex; which associates with RNA polymerase II and is involved in histone methylation; plays a role in regulating Ty1 transposition; involved in transcription elongation as demonstrated by the G-less-based run-on (GLRO) assay	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005649
YOR124C	UBP2	15	558642	554824	C	Ubiquitin-specific protease; removes ubiquitin from ubiquitinated proteins; controls K63 homeostasis during oxidative stress; deubiquitinates Rsp5p and is required for MVB sorting of membrane proteins; can cleave polyubiquitin and has isopeptidase activity	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005650
YOR125C	CAT5	15	559731	559030	C	Protein required for ubiquinone (Coenzyme Q) biosynthesis; localizes to the matrix face of the mitochondrial inner membrane in a large complex with ubiquinone biosynthetic enzymes; required for gluconeogenic gene activation	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005651
YOR126C	IAH1	15	560677	559961	C	Isoamyl acetate-hydrolyzing esterase; required in balance with alcohol acetyltransferase to maintain optimal amounts of isoamyl acetate, which is particularly important in sake brewing	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005652
YOR127W	RGA1	15	561170	564193	W	GTPase-activating protein for polarity-establishment protein Cdc42p; implicated in control of septin organization, pheromone response, and haploid invasive growth; relocalizes from bud neck to cytoplasm upon DNA replication stress; RGA1 has a paralog, RGA2, that arose from the whole genome duplication	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005653
YOR128C	ADE2	15	566191	564476	C	Phosphoribosylaminoimidazole carboxylase; catalyzes a step in the 'de novo' purine nucleotide biosynthetic pathway; red pigment accumulates in mutant cells deprived of adenine	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005654
YOR129C	AFI1	15	569558	566877	C	Arf3p polarization-specific docking factor; required for the polarized distribution of the ADP-ribosylation factor, Arf3p; participates in polarity development and maintenance of a normal haploid budding pattern; interacts with Cnm7p	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005655
YOR130C	ORT1	15	570807	569929	C	Ornithine transporter of the mitochondrial inner membrane; exports ornithine from mitochondria as part of arginine biosynthesis; functionally complemented by human ortholog, SLC25A15, which is associated with hyperammonaemia-hyperornithinaemia-homocitrullinuria (HHH) syndrome, but HHH-associated variants fail to complement	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005656
YOR131C		15	572838	572182	C	Putative haloacid dehalogenase-like hydrolase; non-essential gene; overexpression causes a cell cycle delay or arrest; protein abundance increases in response to DNA replication stress	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005657
YOR132W	VPS17	15	573175	574830	W	Subunit of the membrane-associated retromer complex; essential for endosome-to-Golgi retrograde protein transport; peripheral membrane protein that assembles onto the membrane with Vps5p to promote vesicle formation; required for recruiting the retromer complex to the endosome membranes	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005658
YOR133W	EFT1	15	575098	577626	W	Elongation factor 2 (EF-2), also encoded by EFT2; catalyzes ribosomal translocation during protein synthesis; contains diphthamide, the unique posttranslationally modified histidine residue specifically ADP-ribosylated by diphtheria toxin; EFT1 has a paralog, EFT2, that arose from the whole genome duplication	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005659
YOR134W	BAG7	15	578564	579793	W	Rho GTPase activating protein (RhoGAP); stimulates the intrinsic GTPase activity of Rho1p, which plays a bud growth by regulating actin cytoskeleton organization and cell wall biosynthesis, resulting in the downregulation of Rho1p; structurally and functionally related to Sac7p; BAG7 has a paralog, SAC7, that arose from the whole genome duplication	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005660
YOR136W	IDH2	15	580250	581359	W	Subunit of mitochondrial NAD(+)-dependent isocitrate dehydrogenase; complex catalyzes the oxidation of isocitrate to alpha-ketoglutarate in the TCA cycle; phosphorylated	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005662
YOR135C	IRC14	15	580500	580159	C	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene YOR136W; null mutant displays increased levels of spontaneous Rad52 foci	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005661
YOR137C	SIA1	15	583681	581813	C	Protein of unassigned function; involved in activation of the Pma1p plasma membrane H+-ATPase by glucose; contains peptide signal for membrane localization	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005663
YOR138C	RUP1	15	586324	584309	C	Protein that regulates ubiquitination of Rsp5p; has a WW domain consensus motif of PPPSY (residues 131-135) that mediates binding of Rsp5p to Ubp2p; contains an UBA domain; relative distribution to the nucleus increases upon DNA replication stress	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005664
YOR140W	SFL1	15	586981	589281	W	Transcriptional repressor and activator; involved in repression of flocculation-related genes, and activation of stress responsive genes; has direct role in INO1 transcriptional memory; negatively regulated by cAMP-dependent protein kinase A subunit Tpk2p; premature stop codon (C1430T, Q477-stop) in SK1 background is linked to the aggressively invasive phenotype of SK1 relative to BY4741 (S288C)	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005666
YOR139C		15	587342	586950	C	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF SFL1/YOR140W	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005665
YOR141C	ARP8	15	592587	589942	C	Nuclear actin-related protein involved in chromatin remodeling; component of chromatin-remodeling enzyme complexes; has mRNA binding activity	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005667
YOR142W	LSC1	15	593057	594046	W	Alpha subunit of succinyl-CoA ligase; succinyl-CoA ligase is a mitochondrial enzyme of the TCA cycle that catalyzes the nucleotide-dependent conversion of succinyl-CoA to succinate; phosphorylated	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005668
YOR143C	THI80	15	602342	601383	C	Thiamine pyrophosphokinase; phosphorylates thiamine to produce the coenzyme thiamine pyrophosphate (thiamine diphosphate)	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005669
YOR144C	ELG1	15	605092	602717	C	Subunit of an alternative replication factor C complex; important for DNA replication and genome integrity; suppresses spontaneous DNA damage; involved in homologous recombination-mediated repair and telomere homeostasis; required for PCNA (Pol30p) unloading during DNA replication	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005670
YOR146W		15	605873	606178	W	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; open reading frame overlaps the verified gene PNO1/YOR145C	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005672
YOR145C	PNO1	15	606171	605347	C	Essential nucleolar protein required for pre-18S rRNA processing; interacts with Dim1p, an 18S rRNA dimethyltransferase, and also with Nob1p, which is involved in proteasome biogenesis; contains a KH domain	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005671
YOR147W	MDM32	15	606607	608475	W	Mitochondrial inner membrane protein with similarity to Mdm31p; required for normal mitochondrial morphology and inheritance; interacts genetically with MMM1, MDM10, MDM12, and MDM34; variation between SK1 and S288C at residues 182 and 262 impacts invasive growth and mitochondrial network structure	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005673
YOR148C	SPP2	15	609197	608640	C	Essential protein that promotes the first step of splicing; required for the final stages of spliceosome maturation and activation; interacts with Prp2p, which may release Spp2p from the spliceosome following the first cleavage reaction; stimulates Prp2p ATPase activity	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005674
YOR149C	SMP3	15	611388	609838	C	Alpha 1,2-mannosyltransferase; involved in glycosyl phosphatidyl inositol (GPI) biosynthesis; required for addition of the fourth, side branching mannose to the GPI core structure	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005675
YOR150W	MRPL23	15	611999	612490	W	Mitochondrial ribosomal protein of the large subunit; localizes to vacuole in response to H2O2	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005676
YOR151C	RPB2	15	616671	612997	C	RNA polymerase II second largest subunit B150; part of central core; similar to bacterial beta subunit	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005677
YOR152C	ATG40	15	618288	617518	C	Autophagy receptor with a role in endoplasmic reticulum degradation; involved specifically in autophagy of cortical and cytoplasmic ER in response to nitrogen starvation or rapamycin treatment; localizes to the cortical and cytoplasmic ER; similar to human FAM134B, which is also involved in ER autophagy and is associated with sensory neuropathy	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005678
YOR153W	PDR5	15	619840	624375	W	Plasma membrane ATP-binding cassette (ABC) transporter; multidrug transporter actively regulated by Pdr1p; also involved in steroid transport, cation resistance, and cellular detoxification during exponential growth; PDR5 has a paralog, PDR15, that arose from the whole genome duplication	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005679
YOR154W	SLP1	15	624729	626492	W	Glycosylated integral ER membrane protein of unknown function; forms an ER-membrane associated protein complex with Emp65p; member of the SUN-like family of proteins; genetic interactions suggest a role in folding of ER membrane proteins; required for nuclear envelope localization of Mps3p	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005680
YOR155C	ISN1	15	627980	626628	C	Inosine 5'-monophosphate (IMP)-specific 5'-nucleotidase; catalyzes the breakdown of IMP to inosine; responsible for production of nicotinamide riboside and nicotinic acid riboside; expression positively regulated by nicotinic acid and glucose availability; does not show similarity to known 5'-nucleotidases from other organisms	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005681
YOR156C	NFI1	15	630540	628360	C	SUMO E3 ligase; catalyzes sumoylation of Yku70p/80p and Sir4p promoting telomere anchoring to the nuclear envelope and regulating telomerase activity; DNA-bound form catalyzes a DNA-damaged triggered sumoylation wave resulting in multisite modification of several DNA repair proteins, enhancing interactions between these proteins and accelerating repair; sumoylates Cse4p, a prerequisite for STUbL-mediated Ub-dependent degradation; role in telomere length maintenance	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005682
YOR157C	PUP1	15	631751	630966	C	Beta 2 subunit of the 20S proteasome; endopeptidase with trypsin-like activity that cleaves after basic residues; synthesized as a proprotein before being proteolytically processed for assembly into 20S particle; human homolog is subunit Z	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000005683
